Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.518,10948.280,48.469,20681,140.975
CrawlerDynamicLearning,6.533,10994.320,37.957,20730,311.116
CrawlerDynamicLearning,6.481,11043.161,40.626,20738,248.451
CrawlerDynamicLearning,6.482,11102.284,50.474,21121,296.579
CrawlerDynamicLearning,6.530,11154.839,44.119,20937,438.134
CrawlerDynamicLearning,6.525,11204.596,41.191,20382,258.802
CrawlerDynamicLearning,6.508,11254.963,42.077,20451,295.103
CrawlerDynamicLearning,6.513,11308.689,45.332,20573,281.352
CrawlerDynamicLearning,6.531,11361.975,44.830,21103,255.788
CrawlerDynamicLearning,6.511,11414.218,43.849,20575,332.824
CrawlerDynamicLearning,6.508,11462.713,40.296,20400,267.946
CrawlerDynamicLearning,6.551,11520.262,48.876,21143,203.709
CrawlerDynamicLearning,6.538,11565.954,37.604,20257,367.401
CrawlerDynamicLearning,6.520,11618.653,44.259,20411,329.204
CrawlerDynamicLearning,6.499,11671.247,44.183,20364,286.738
CrawlerDynamicLearning,6.533,11721.982,42.414,22166,229.705
CrawlerDynamicLearning,6.542,11778.143,47.560,21086,382.374
CrawlerDynamicLearning,6.568,11829.947,43.360,20963,316.874
CrawlerDynamicLearning,6.471,11883.153,44.821,20272,316.646
CrawlerDynamicLearning,6.518,11936.980,45.372,20401,268.948
CrawlerDynamicLearning,6.525,11981.298,36.252,21065,287.248
CrawlerDynamicLearning,6.529,12036.761,46.920,20787,243.705
CrawlerDynamicLearning,6.503,12093.635,48.281,20996,172.762
CrawlerDynamicLearning,6.516,12141.948,40.084,20304,270.634
CrawlerDynamicLearning,6.505,12191.237,40.997,20919,470.249
CrawlerDynamicLearning,6.541,12245.789,46.003,20273,364.230
CrawlerDynamicLearning,6.489,12298.572,44.694,20955,272.905
CrawlerDynamicLearning,6.507,12346.658,39.888,20369,368.992
CrawlerDynamicLearning,6.531,12399.576,44.468,20867,334.040
CrawlerDynamicLearning,6.509,12452.720,44.715,20577,127.622
CrawlerDynamicLearning,6.497,12503.547,42.524,20559,328.613
CrawlerDynamicLearning,6.521,12555.281,43.464,21172,300.809
CrawlerDynamicLearning,6.495,12607.230,43.595,21058,254.281
CrawlerDynamicLearning,6.496,12659.776,44.460,21006,445.079
CrawlerDynamicLearning,6.510,12712.449,43.944,20429,270.838
CrawlerDynamicLearning,6.509,12762.649,41.858,20938,254.961
CrawlerDynamicLearning,6.548,12817.753,46.579,20307,245.282
