Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.344,3777.918,21.792,20564,281.122
CrawlerDynamicLearning,6.337,3805.163,20.108,21123,290.432
CrawlerDynamicLearning,6.332,3835.617,23.155,21140,300.696
CrawlerDynamicLearning,6.354,3862.606,19.810,20687,266.737
CrawlerDynamicLearning,6.409,3895.086,25.049,21214,273.807
CrawlerDynamicLearning,6.385,3924.610,22.244,21149,293.148
CrawlerDynamicLearning,6.382,3955.482,23.506,20934,309.619
CrawlerDynamicLearning,6.389,3983.701,20.978,21156,290.852
CrawlerDynamicLearning,6.368,4013.053,22.080,20339,290.816
CrawlerDynamicLearning,6.360,4041.544,21.252,20461,259.620
CrawlerDynamicLearning,6.403,4069.867,21.031,20340,288.450
CrawlerDynamicLearning,6.364,4099.043,21.869,20408,236.159
CrawlerDynamicLearning,6.387,4128.035,21.713,20260,275.215
CrawlerDynamicLearning,6.382,4156.445,21.149,20243,306.165
CrawlerDynamicLearning,6.479,4186.118,22.069,20964,282.562
CrawlerDynamicLearning,6.435,4213.225,19.741,20319,281.282
CrawlerDynamicLearning,6.494,4240.741,20.093,20663,244.851
CrawlerDynamicLearning,6.485,4267.676,19.503,21020,288.138
CrawlerDynamicLearning,6.432,4294.023,19.049,20616,282.171
CrawlerDynamicLearning,6.532,4320.065,18.655,20811,284.989
CrawlerDynamicLearning,6.444,4349.585,22.010,20682,245.553
CrawlerDynamicLearning,6.450,4374.819,17.965,20265,296.575
CrawlerDynamicLearning,6.453,4403.053,20.814,21154,292.848
CrawlerDynamicLearning,6.447,4431.401,20.932,20450,259.478
CrawlerDynamicLearning,6.431,4455.761,17.114,20455,331.150
CrawlerDynamicLearning,6.425,4484.256,21.057,21007,242.868
CrawlerDynamicLearning,6.436,4512.229,20.553,20970,316.444
CrawlerDynamicLearning,6.454,4538.733,19.183,20934,281.110
CrawlerDynamicLearning,6.463,4567.448,21.233,20982,287.242
CrawlerDynamicLearning,6.433,4593.171,18.440,20337,304.837
CrawlerDynamicLearning,6.461,4621.343,20.761,20429,309.659
CrawlerDynamicLearning,6.430,4647.867,19.226,20807,319.853
CrawlerDynamicLearning,6.428,4674.073,18.890,20906,312.532
CrawlerDynamicLearning,6.457,4704.098,22.461,21917,339.851
CrawlerDynamicLearning,6.412,4730.192,18.807,21170,352.667
CrawlerDynamicLearning,6.438,4757.381,19.860,20412,293.129
CrawlerDynamicLearning,6.413,4785.988,21.193,20685,314.968
CrawlerDynamicLearning,6.426,4812.130,18.846,20466,302.757
CrawlerDynamicLearning,6.424,4839.898,20.389,20716,300.782
CrawlerDynamicLearning,6.541,4867.572,20.209,21099,307.968
CrawlerDynamicLearning,6.408,4893.403,18.549,21172,335.413
CrawlerDynamicLearning,6.335,4921.034,20.306,20566,352.144
CrawlerDynamicLearning,6.408,4948.878,20.492,20799,308.062
CrawlerDynamicLearning,6.369,4977.854,21.398,21020,298.565
CrawlerDynamicLearning,6.391,5003.323,18.202,21008,335.536
CrawlerDynamicLearning,6.337,5030.015,19.432,20306,285.194
CrawlerDynamicLearning,6.367,5057.068,19.742,20275,270.346
CrawlerDynamicLearning,6.356,5084.238,19.894,20408,356.560
CrawlerDynamicLearning,6.328,5110.765,19.321,20376,287.115
CrawlerDynamicLearning,6.321,5137.865,19.880,20853,279.931
CrawlerDynamicLearning,6.340,5163.642,18.593,20395,377.275
CrawlerDynamicLearning,6.331,5192.850,21.858,21103,299.019
CrawlerDynamicLearning,6.348,5219.552,19.437,21030,328.890
CrawlerDynamicLearning,6.356,5244.691,17.911,20565,420.143
CrawlerDynamicLearning,6.313,5274.199,22.164,20578,307.524
CrawlerDynamicLearning,6.334,5302.170,20.635,20966,352.688
CrawlerDynamicLearning,6.332,5327.446,18.103,20454,363.685
CrawlerDynamicLearning,6.340,5354.126,19.394,20763,335.630
CrawlerDynamicLearning,6.311,5382.922,21.485,20735,313.772
CrawlerDynamicLearning,6.367,5406.815,16.788,20448,327.993
CrawlerDynamicLearning,6.383,5435.864,21.639,20510,316.433
CrawlerDynamicLearning,6.378,5463.647,20.451,20937,362.460
CrawlerDynamicLearning,6.386,5490.335,19.422,20614,349.163
CrawlerDynamicLearning,6.417,5517.281,19.605,20600,344.355
CrawlerDynamicLearning,6.372,5545.009,20.402,20849,360.524
CrawlerDynamicLearning,6.388,5569.561,17.371,20539,349.383
CrawlerDynamicLearning,6.523,5598.140,21.063,20960,311.095
CrawlerDynamicLearning,6.442,5627.315,21.729,20554,360.554
