Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,4.755,6213.773,18.058,21157,382.365
CrawlerDynamicLearning,4.689,6235.983,16.590,20291,391.673
CrawlerDynamicLearning,4.749,6258.534,16.770,20425,389.377
CrawlerDynamicLearning,4.681,6281.471,17.256,20785,443.297
CrawlerDynamicLearning,4.699,6305.924,18.678,20497,454.138
CrawlerDynamicLearning,4.725,6326.875,15.342,20961,330.454
CrawlerDynamicLearning,4.696,6350.188,17.599,20393,360.522
CrawlerDynamicLearning,4.730,6371.618,15.790,20957,482.681
CrawlerDynamicLearning,4.698,6394.972,17.645,20750,420.291
CrawlerDynamicLearning,4.720,6418.198,17.492,20679,388.894
CrawlerDynamicLearning,4.705,6440.241,16.398,20359,406.541
CrawlerDynamicLearning,4.705,6465.537,19.482,20609,434.423
CrawlerDynamicLearning,4.703,6487.166,15.996,20447,370.950
CrawlerDynamicLearning,4.693,6509.934,17.086,20298,444.630
CrawlerDynamicLearning,4.702,6530.476,14.972,20381,347.648
CrawlerDynamicLearning,4.724,6554.419,18.152,20938,315.449
CrawlerDynamicLearning,4.710,6577.449,17.322,20663,385.616
CrawlerDynamicLearning,4.685,6600.696,17.550,20751,302.637
CrawlerDynamicLearning,4.715,6621.957,15.643,20970,358.110
CrawlerDynamicLearning,4.694,6645.607,17.922,20812,342.102
CrawlerDynamicLearning,4.684,6671.043,19.606,20806,345.136
CrawlerDynamicLearning,4.671,6690.014,13.480,20333,383.881
CrawlerDynamicLearning,4.694,6713.269,17.532,20298,414.008
CrawlerDynamicLearning,4.711,6737.552,18.494,20689,348.066
CrawlerDynamicLearning,4.708,6759.276,16.109,20685,340.614
CrawlerDynamicLearning,4.698,6783.811,18.788,21092,331.431
CrawlerDynamicLearning,4.710,6805.537,16.055,20995,381.677
CrawlerDynamicLearning,4.699,6828.547,17.301,20776,352.742
CrawlerDynamicLearning,4.723,6852.377,17.872,21100,384.707
CrawlerDynamicLearning,4.736,6877.023,18.826,20981,406.714
CrawlerDynamicLearning,4.695,6899.203,16.543,20732,393.590
CrawlerDynamicLearning,4.720,6921.035,16.153,20775,410.669
CrawlerDynamicLearning,4.707,6943.570,16.849,20349,438.097
CrawlerDynamicLearning,4.730,6966.548,17.240,21060,353.279
CrawlerDynamicLearning,4.711,6988.244,16.069,20628,414.873
CrawlerDynamicLearning,4.718,7014.264,20.150,20646,412.248
CrawlerDynamicLearning,4.714,7034.360,14.511,20683,401.679
CrawlerDynamicLearning,4.724,7057.182,17.086,20725,315.058
CrawlerDynamicLearning,4.693,7081.286,18.325,20700,419.205
CrawlerDynamicLearning,4.669,7103.924,17.011,20269,409.571
CrawlerDynamicLearning,4.716,7125.882,16.318,20454,359.401
CrawlerDynamicLearning,4.687,7149.279,17.687,20643,397.512
CrawlerDynamicLearning,4.708,7171.789,16.824,20418,359.381
CrawlerDynamicLearning,4.722,7196.565,18.960,21226,412.227
CrawlerDynamicLearning,4.725,7216.877,14.718,21039,420.356
CrawlerDynamicLearning,4.690,7240.178,17.562,20297,392.281
CrawlerDynamicLearning,4.739,7262.596,16.715,21092,387.884
CrawlerDynamicLearning,4.703,7286.433,18.081,20560,362.587
CrawlerDynamicLearning,4.719,7310.488,18.276,21239,396.497
CrawlerDynamicLearning,4.705,7333.403,17.205,20800,365.594
CrawlerDynamicLearning,4.735,7355.460,16.389,21225,433.604
CrawlerDynamicLearning,4.713,7379.661,18.437,20795,490.896
CrawlerDynamicLearning,4.685,7402.008,16.728,20398,513.554
CrawlerDynamicLearning,4.697,7422.103,14.547,20586,502.800
CrawlerDynamicLearning,4.690,7446.298,18.412,20443,436.142
CrawlerDynamicLearning,4.715,7470.027,17.991,20837,426.246
CrawlerDynamicLearning,4.722,7492.327,16.418,20675,484.207
CrawlerDynamicLearning,4.706,7517.284,19.143,20664,450.239
CrawlerDynamicLearning,4.673,7537.503,14.709,20470,471.536
CrawlerDynamicLearning,4.697,7561.198,17.927,20478,468.949
CrawlerDynamicLearning,4.691,7584.694,17.746,20402,470.421
CrawlerDynamicLearning,4.696,7606.408,16.112,20252,454.531
CrawlerDynamicLearning,4.714,7629.333,17.230,21146,487.619
CrawlerDynamicLearning,4.676,7652.551,17.548,20828,444.201
CrawlerDynamicLearning,4.714,7673.140,15.001,20249,441.709
CrawlerDynamicLearning,4.698,7696.727,17.852,20617,406.876
CrawlerDynamicLearning,4.740,7719.659,17.163,20401,449.555
CrawlerDynamicLearning,4.731,7743.149,17.733,20800,454.248
CrawlerDynamicLearning,4.710,7765.096,16.277,20696,505.313
CrawlerDynamicLearning,4.714,7789.709,18.815,21084,459.774
CrawlerDynamicLearning,4.716,7812.648,17.204,20945,441.473
CrawlerDynamicLearning,4.716,7833.380,15.116,20515,402.594
CrawlerDynamicLearning,4.718,7857.905,18.696,21139,395.598
CrawlerDynamicLearning,4.690,7882.950,19.211,21042,509.829
CrawlerDynamicLearning,4.688,7903.474,14.961,20805,470.291
CrawlerDynamicLearning,4.701,7927.190,17.958,20319,450.906
CrawlerDynamicLearning,4.741,7949.345,16.454,21194,489.490
CrawlerDynamicLearning,4.716,7971.802,16.767,21157,428.388
CrawlerDynamicLearning,4.710,7995.570,18.034,21134,528.811
CrawlerDynamicLearning,4.722,8019.574,18.233,21211,436.001
CrawlerDynamicLearning,4.707,8042.548,17.263,20603,414.597
CrawlerDynamicLearning,4.729,8064.016,15.839,20867,444.304
CrawlerDynamicLearning,4.697,8086.653,16.915,20301,364.802
CrawlerDynamicLearning,4.712,8109.425,17.058,20504,351.973
CrawlerDynamicLearning,4.703,8134.171,18.910,20559,472.799
CrawlerDynamicLearning,4.675,8155.628,15.695,20499,382.505
CrawlerDynamicLearning,4.712,8176.651,15.427,21137,400.695
CrawlerDynamicLearning,4.703,8201.948,19.439,20983,451.708
CrawlerDynamicLearning,4.715,8224.611,16.931,20870,485.727
CrawlerDynamicLearning,4.725,8247.333,17.017,20493,481.949
CrawlerDynamicLearning,4.729,8270.292,17.250,20483,444.377
CrawlerDynamicLearning,4.672,8292.234,16.322,20799,441.307
CrawlerDynamicLearning,4.679,8314.628,16.740,20324,483.666
CrawlerDynamicLearning,4.703,8337.842,17.483,20793,470.942
CrawlerDynamicLearning,4.662,8361.184,17.624,20394,468.482
CrawlerDynamicLearning,4.692,8383.011,16.190,20459,427.480
CrawlerDynamicLearning,4.681,8405.400,16.722,20256,480.403
CrawlerDynamicLearning,4.689,8428.193,17.103,20885,495.814
CrawlerDynamicLearning,4.694,8451.279,17.377,20263,442.791
CrawlerDynamicLearning,4.728,8474.613,17.577,21129,409.168
CrawlerDynamicLearning,4.672,8497.563,17.269,20281,445.321
CrawlerDynamicLearning,4.688,8519.416,16.232,20610,437.029
CrawlerDynamicLearning,4.685,8541.928,16.868,20574,458.421
CrawlerDynamicLearning,4.692,8565.105,17.469,20369,432.574
CrawlerDynamicLearning,4.692,8587.079,16.332,20698,450.200
CrawlerDynamicLearning,4.714,8610.138,17.353,20758,458.341
CrawlerDynamicLearning,4.714,8633.422,17.552,20882,478.490
CrawlerDynamicLearning,4.682,8655.787,16.712,21064,400.884
CrawlerDynamicLearning,4.685,8679.149,17.644,20330,399.696
CrawlerDynamicLearning,4.700,8702.839,17.933,21147,359.080
CrawlerDynamicLearning,4.692,8726.268,17.717,21126,495.843
CrawlerDynamicLearning,4.707,8748.486,16.545,20289,454.149
CrawlerDynamicLearning,4.714,8770.290,16.164,20972,431.560
CrawlerDynamicLearning,4.678,8793.832,17.815,21023,463.474
CrawlerDynamicLearning,4.715,8819.241,19.319,21116,390.871
CrawlerDynamicLearning,4.724,8840.181,15.370,20687,502.185
CrawlerDynamicLearning,4.709,8862.521,16.673,20514,489.298
CrawlerDynamicLearning,4.683,8884.271,16.123,20331,516.982
CrawlerDynamicLearning,4.705,8906.804,16.838,20947,471.019
CrawlerDynamicLearning,4.703,8929.051,16.580,20290,508.774
CrawlerDynamicLearning,4.693,8953.758,18.906,21138,525.921
CrawlerDynamicLearning,4.713,8977.704,18.182,20872,488.252
CrawlerDynamicLearning,4.682,8998.099,14.821,20544,429.631
CrawlerDynamicLearning,4.713,9021.744,17.881,21189,410.364
CrawlerDynamicLearning,4.706,9044.722,17.285,20262,455.418
CrawlerDynamicLearning,4.698,9068.520,17.991,21310,490.766
CrawlerDynamicLearning,4.704,9092.199,17.933,20698,507.616
CrawlerDynamicLearning,4.703,9114.848,16.981,20825,426.157
CrawlerDynamicLearning,4.692,9136.557,16.061,21211,554.428
CrawlerDynamicLearning,4.710,9159.722,17.438,20248,492.365
CrawlerDynamicLearning,4.699,9183.841,18.390,20434,538.303
CrawlerDynamicLearning,4.692,9204.536,15.100,20703,507.254
CrawlerDynamicLearning,4.695,9228.831,18.543,20293,442.117
CrawlerDynamicLearning,4.705,9253.177,18.548,21184,501.687
CrawlerDynamicLearning,4.705,9273.905,15.146,20851,466.857
CrawlerDynamicLearning,4.712,9297.403,17.762,21029,519.481
CrawlerDynamicLearning,4.701,9320.248,17.163,21230,404.295
CrawlerDynamicLearning,4.699,9343.986,18.020,20782,426.903
CrawlerDynamicLearning,4.726,9367.375,17.661,20931,453.423
CrawlerDynamicLearning,4.692,9389.472,16.460,20328,474.620
CrawlerDynamicLearning,4.674,9411.307,16.209,20304,448.129
CrawlerDynamicLearning,4.733,9434.826,17.786,20862,470.968
CrawlerDynamicLearning,4.696,9457.699,17.191,20909,477.819
CrawlerDynamicLearning,4.669,9480.352,16.805,20542,419.462
CrawlerDynamicLearning,4.716,9503.702,17.637,21180,461.555
CrawlerDynamicLearning,4.680,9526.328,17.011,20626,488.414
CrawlerDynamicLearning,4.703,9550.100,18.010,20893,451.825
CrawlerDynamicLearning,4.685,9572.210,16.465,20913,444.926
CrawlerDynamicLearning,4.709,9595.878,17.903,21130,506.776
CrawlerDynamicLearning,4.701,9616.665,15.189,21005,428.846
CrawlerDynamicLearning,4.705,9640.409,17.970,20390,479.051
CrawlerDynamicLearning,4.670,9663.907,17.790,21197,376.978
CrawlerDynamicLearning,4.682,9686.746,17.125,20348,400.760
CrawlerDynamicLearning,4.704,9707.373,15.067,20441,420.924
CrawlerDynamicLearning,4.701,9731.143,18.007,20547,331.532
CrawlerDynamicLearning,4.709,9754.572,17.667,21205,466.786
CrawlerDynamicLearning,4.732,9777.611,17.259,20859,479.409
CrawlerDynamicLearning,4.692,9800.740,17.415,21210,474.114
CrawlerDynamicLearning,4.699,9823.319,16.905,20365,439.044
CrawlerDynamicLearning,4.695,9846.932,17.892,20862,456.872
